TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,SYMBOL,SERIES,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,VOLUME,VALUE,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,Segment,Industry,Nifty500,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,JCurve_Stage,JCurve_Score,JCurve_Explanation,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
2026-09-04,2026-09-04,CM,NSE,STK,13687,INE748A01024,MBECL,BE,,,,,MCNALLY BHARAT ENGIN CO L,258.89,258.89,258.89,258.89,258.89,246.57,,258.89,,,2944,762172.16,78,F1,1,,,,,,Cash Only,Diversified,False,246.57,246.57,246.57,246.57,246.57,246.57000000000005,246.57000000000005,246.57,5.684341886080803e-14,2.30536638118214e-14,Narrow,Bullish,Above CPR,True,False,0.3333333333333333,3,1458214.98,False,False,Higher,False,Risk Off,False,Bullish Virgin,,,,,0.5226747567769466,False,False,No setup,0.0,,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,18139,INE920A01037,DOLPHIN,EQ,,,,,DOLPHIN OFF ENT (IND) L,625.0,681.55,623.3,674.0,677.0,619.6,,674.01,,,169333,112078167.5,3757,F1,1,,,,,,Cash Only,Diversified,False,635.7,603.45,619.6,619.5833333333334,619.575,619.5916666666667,619.5916666666667,619.575,0.0166666666666515,0.0026899074671806,Narrow,Bullish,Above CPR,True,False,0.8833333333333333,60,6519408.975,False,False,Higher,True,Risk Off,False,Bullish Virgin,43.97142857142857,455.73,430.0855,0.0003790340047646,17.191461362492603,True,True,No setup,0.0,,Liftoff,95,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹619.59) with massive 17.2x volume surge. Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹619.59 with stop below Pivot (₹619.58).,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,3339,INE660A01013,SUNDARMFIN,EQ,,,,,SUNDARAM FINANCE LTD,4561.0,4656.3,4561.0,4648.7,4654.9,4578.0,,4648.67,,,19600,90891627.2,6938,F1,1,,,,,,Cash Only,Financial Services,True,4622.4,4533.1,4578.0,4577.833333333333,4577.75,4577.916666666666,4577.916666666666,4577.75,0.1666666666660603,0.0036405999708619,Narrow,Bullish,Above CPR,True,False,0.3666666666666666,60,216225440.45,False,False,Higher,True,Risk Off,False,Bullish Virgin,93.44999999999982,4548.708,4539.214,0.0017834849295458,0.4203558425448915,True,True,No setup,0.0,,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,24742,INE0AG901020,CEIGALL,EQ,,,,,CEIGALL INDIA LIMITED,359.85,359.85,351.0,355.8,355.0,347.55,,355.81,,,949597,336816348.75,18029,F1,1,,,,,,Cash Only,Diversified,False,357.5,337.55,347.55,347.5333333333333,347.525,347.54166666666663,347.54166666666663,347.525,0.0166666666666515,0.0047954730734143,Narrow,Bullish,Above CPR,True,False,0.2333333333333333,60,146578927.77499998,False,False,Higher,True,Risk Off,True,Bullish Virgin,12.799999999999992,343.849,345.32199999999995,0.0013020833333321,2.2978497241228033,True,True,Long,0.5,,Liftoff,87,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹347.54) with strong 2.3x volume (60D Narrow CPR). Ascending Higher CPR overlay and +2 confluence. Momentum continuation target expansion above ₹347.54 with stop below Pivot (₹347.53).,Long,96,Strong confirmation,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: aligned with SMA50/SMA100 (20/20); Participation: confirmed (2.30x) (20/20); Higher timeframe: aligned (+2) (16/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,2,0,0,2
2026-09-04,2026-09-04,CM,NSE,STK,4898,INE258B01022,FDC,EQ,,,,,FDC LIMITED,343.0,351.8,341.55,342.8,342.3,341.6,,342.8,,,120312,41467748.1,7719,F1,1,,,,,,Cash Only,Diversified,False,344.05,339.05,341.6,341.56666666666666,341.55,341.5833333333333,341.5833333333333,341.55,0.033333333333303,0.0097580015612713,Narrow,Bullish,Above CPR,True,False,0.85,60,53681059.225,False,False,Higher,True,Risk Off,False,Bullish Virgin,9.042857142857148,389.392,383.7445,0.0036861506055785,0.7724837903475628,False,False,No setup,0.0,,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,762658,INE927X01018,ELCIDIN,EQ,,,,,ELCID INVESTMENTS LTD.,109880.0,109880.0,107400.0,107590.0,107900.0,106500.0,,107590.0,,,12,1295420.0,12,F1,1,,,,,,Cash Only,Diversified,False,107450.0,105500.0,106500.0,106483.33333333331,106475.0,106491.66666666666,106491.66666666666,106475.0,16.666666666656965,0.0156494522691614,Narrow,Bullish,Above CPR,True,False,0.3833333333333333,60,990835.0,False,False,Lower,True,Risk Off,False,,1708.2142857142858,111140.6,,0.0097567774757766,1.3074023424687258,False,False,No setup,0.0,,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,703,INE303A01010,DICIND,EQ,,,,,DIC INDIA LIMITED,596.0,638.95,589.75,618.6,613.1,584.0,,618.4,,,45846,28362168.05,1548,F1,1,,,,,,Cash Only,Diversified,False,590.05,577.6,584.0,583.8833333333333,583.825,583.9416666666666,583.9416666666666,583.825,0.1166666666665605,0.0199771689497535,Narrow,Bullish,Above CPR,True,False,0.2833333333333333,60,1329120.625,True,False,Higher,True,Risk Off,False,Bullish Virgin,28.635714285714307,536.595,528.8104999999999,0.0040741664587973,21.33904742468352,True,True,No setup,0.0,,Liftoff,95,🚀 J-Curve Liftoff: Decisive kinetic breakout above CPR Top (₹583.94) with massive 21.3x volume surge. Ascending Higher CPR overlay and +0 confluence. Momentum continuation target expansion above ₹583.94 with stop below Pivot (₹583.88).,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,764865,INE531X01018,SAICAPI,EQ,,,,,SAI CAPITAL LTD.,160.2,163.8,155.1,157.56,158.45,157.05,,157.61,,,1101,177483.93,41,F1,1,,,,,,Cash Only,Diversified,False,168.0,146.0,157.05,157.01666666666668,157.0,157.03333333333336,157.03333333333336,157.0,0.0333333333333598,0.0212246630584908,Narrow,Bullish,Above CPR,True,False,0.6153846153846154,13,36085.71,False,False,Higher,False,Risk Off,False,Bullish Virgin,,,,,4.9183992777196295,False,False,No setup,0.0,,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,11618,INE386C01029,ASTRAMICRO,EQ,,,,,ASTRA MICROWAVE LTD,1666.1,1741.0,1666.1,1729.0,1734.4,1665.1,,1728.95,,,502645,863137245.1,26428,F1,1,,,,,,Cash Only,Diversified,False,1684.0,1645.1,1665.1,1664.7333333333331,1664.55,1664.9166666666667,1664.9166666666667,1664.55,0.3666666666667879,0.0220206994574973,Narrow,Bullish,Above CPR,True,False,0.5166666666666667,60,716971746.4,False,False,Lower,True,Risk Off,False,,54.33571428571432,1747.29,1506.775,0.0067481705446759,1.2038650747869972,False,True,No setup,0.0,,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
2026-09-04,2026-09-04,CM,NSE,STK,15061,INF174KA1A86,PSUBANK,EQ,,,,,KOTAK PSU BANK,85.6,86.18,85.3,85.53,85.91,85.36,,85.53,,,235393,20144731.37,664,F1,1,,,,,,Cash Only,Financial Services,False,86.69,83.97,85.36,85.33999999999999,85.33,85.34999999999998,85.34999999999998,85.33,0.0199999999999818,0.023430178069332,Narrow,Bullish,Above CPR,True,False,0.3166666666666666,60,20400968.785,False,False,Inside,True,Risk Off,False,,1.760714285714286,236.89300000000003,540.7387,0.011359026369158,0.9874399388724912,False,False,No setup,0.0,,None,0,No active J-Curve setup.,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,0,0,0,0
