SYMBOL,period_end,OPEN,HIGH,LOW,CLOSE,VALUE,NAME,Industry,Segment,session,PREV_HIGH,PREV_LOW,PREV_CLOSE,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,NR4,NR7,Overlay,History_OK,Regime,Own_Narrow,Virgin_CPR,ATR14,SMA50,SMA100,Width_ATR,Value_Ratio,Above_SMA50,Above_SMA100,Setup,Risk_Multiplier,Triple_Confluence,Applies,Timeframe,Daily_Signal,Weekly_Signal,Monthly_Signal,Confluence_Score
20MICRONS,20260904,221.01,227.33,207.0,222.49,164649775.76,20 MICRONS LTD,Diversified,Cash Only,20260904,233.53,202.86,222.0,219.46333333333334,218.195,220.73166666666668,220.73166666666668,218.195,2.53666666666669,1.1426426426426533,Wide,Bullish,Above CPR,False,False,0.5370370370370371,54,110544962.455,True,False,Higher,True,Risk Off,False,Bullish Virgin,19.628571428571433,189.8244,,0.12923338185347036,1.4894371674966616,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
21STCENMGM,20260904,40.35,41.84,37.36,38.13,851667.47,21ST CENTURY MGMT SERVICE,Diversified,Cash Only,20260904,44.62,41.16,41.16,42.31333333333333,42.89,41.736666666666665,42.89,41.736666666666665,1.153333333333336,2.802073210236482,Wide,Bearish,Below CPR,False,False,0.8703703703703703,54,869623.0,False,False,Lower,True,Risk Off,False,Bearish Virgin,3.1021428571428586,39.165600000000005,,0.3717860158108841,0.9793525125255427,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
360ONE,20260904,1199.6,1199.6,1127.1,1137.0,6192221565.9,360 ONE WAM LIMITED,Financial Services,F&O + Cash,20260904,1219.8,1186.4,1200.0,1202.0666666666666,1203.1,1201.0333333333333,1203.1,1201.0333333333333,2.066666666666606,0.17222222222221717,Narrow,Bearish,Below CPR,False,True,0.12962962962962962,54,4232212160.15,False,False,Higher,True,Risk Off,True,None,64.55714285714289,1108.341,,0.03201298222320477,1.463117001601482,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
3BBLACKBIO,20260904,1458.1,1588.9,1411.2,1460.1,247128268.2,3B BLACKBIO DX LTD.,Healthcare & Pharma,Cash Only,20260904,1463.0,1191.4,1441.2,1365.2,1327.2,1403.2,1403.2,1327.2,76.0,5.27338329170136,Wide,Bullish,Above CPR,False,False,1.0,20,62920583.60000001,False,False,Higher,True,Risk Off,False,Bullish Virgin,145.56428571428575,,,0.5221060896020412,3.9276219968182233,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
3IINFOLTD,20260904,22.68,23.5,21.7,22.37,13303610.29,3I INFOTECH LIMITED,Information Technology,Cash Only,20260904,27.8,25.14,26.93,26.623333333333335,26.47,26.77666666666667,26.77666666666667,26.47,0.30666666666667197,1.138754796385711,Wide,Bullish,Below CPR,False,False,0.5769230769230769,52,33684450.685,False,False,Higher,True,Risk Off,False,Bearish Virgin,1.9021428571428574,17.82,,0.16122167980974117,0.3949481146184824,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
3MINDIA,20260904,34415.0,34415.0,32665.0,32845.0,504852575.0,3M INDIA LIMITED,Diversified,Cash Only,20260904,34840.0,33340.0,34415.0,34198.333333333336,34090.0,34306.66666666667,34306.66666666667,34090.0,216.66666666667152,0.6295704392464667,Moderate,Bullish,Below CPR,False,False,0.3333333333333333,54,597586345.0,False,False,Overlapping,True,Risk Off,False,None,1772.142857142857,33422.0,,0.12226252855031847,0.8448194628677468,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
3PLAND,20260904,31.74,33.97,30.75,32.39,731150.26,3P LAND HOLDINGS LIMITED,Diversified,Cash Only,20260904,32.4,31.52,31.74,31.886666666666667,31.96,31.813333333333333,31.96,31.813333333333333,0.14666666666666828,0.4620877966813745,Moderate,Bearish,Above CPR,False,False,0.2222222222222222,54,726001.39,False,False,Lower,True,Risk Off,True,None,2.5435714285714295,35.3084,,0.05766170551343317,1.0070920938594896,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
5PAISA,20260904,367.5,370.75,335.0,342.1,161628902.5,5PAISA CAPITAL LIMITED,Stock Broking,Cash Only,20260904,385.55,365.0,368.35,372.9666666666667,375.275,370.6583333333334,375.275,370.6583333333334,4.616666666666561,1.2533369530790173,Wide,Bearish,Below CPR,False,False,0.48148148148148145,54,84484354.7,False,False,Lower,True,Risk Off,False,Bearish Virgin,32.74642857142857,331.86760000000004,,0.14098229541570914,1.9131222943459376,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
63MOONS,20260904,776.4,903.0,762.95,876.5,2078278513.5,63 MOONS TECHNOLOGIES LTD,Diversified,Cash Only,20260904,822.0,739.1,776.4,779.1666666666666,780.55,777.7833333333333,780.55,777.7833333333333,2.7666666666666515,0.3563455263609804,Moderate,Bearish,Above CPR,False,False,0.14814814814814814,54,519194233.925,True,False,Overlapping,True,Risk Off,True,None,82.43928571428572,707.312,,0.03356005140868442,4.002892131117575,True,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
A2ZINFRA,20260904,17.0,17.0,15.33,15.61,18740058.54,A2Z INFRA ENGINEERING LTD,Real Estate & Infra,Cash Only,20260904,17.12,15.2,16.63,16.316666666666666,16.16,16.473333333333333,16.473333333333333,16.16,0.3133333333333326,1.8841451192623728,Wide,Bullish,Below CPR,False,False,0.5428571428571428,35,18546484.6,True,False,Higher,True,Risk Off,False,Bullish Virgin,1.797857142857143,,,0.17428155211230256,1.0104372307838865,False,False,No setup,0.0,None,Week 07 Sep – 11 Sep 2026,Weekly,0,0,0,0
