SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
MEDANTA,EQ,GLOBAL HEALTH LIMITED,1100.0,1101.0,1078.3,1089.7,227449,247847046.3,20260309,1089.6666666666667,1089.65,1089.6833333333334,1089.6833333333334,1089.65,0.033333333333303,0.0030589458872444,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.0166666666666666,60,142463820.75,Lower,True,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
VLSFINANCE,EQ,VLS FINANCE LTD,236.85,236.85,229.9,233.4,17316,4017490.8,20260309,233.38333333333333,233.375,233.39166666666665,233.39166666666665,233.375,0.0166666666666515,0.0071408169094479,Narrow,Bullish,Above CPR,Cash Only,Financial Services,True,False,0.0666666666666666,60,5173576.7,Lower,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
EUROPRATIK,EQ,EURO PRATIK SALES LIMITED,230.0,235.0,227.65,231.35,189068,43633075.05,20260309,231.33333333333331,231.325,231.3416666666667,231.3416666666667,231.325,0.0166666666667083,0.0072040919242309,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.0333333333333333,60,30252033.875,Lower,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
NAVKARCORP,EQ,NAVKAR CORPORATION LTD.,88.0,88.1,85.0,86.56,181680,15732229.6,20260309,86.55333333333333,86.55,86.55666666666666,86.55666666666666,86.55,0.0066666666666606,0.0077017868145339,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.0166666666666666,60,23871260.68,Lower,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CORONA,EQ,CORONA REMEDIES LIMITED,1552.6,1589.4,1545.0,1567.4,8739,13694186.4,20260309,1567.2666666666669,1567.2,1567.3333333333333,1567.3333333333333,1567.2,0.133333333333212,0.0085066564586711,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.0350877192982456,57,100202557.9,Lower,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ZFCVINDIA,EQ,ZF COM VE CTR SYS IND LTD,14050.0,14199.0,13805.0,14004.0,12604,176032517.0,20260309,14002.666666666666,14002.0,14003.333333333332,14003.333333333332,14002.0,1.333333333332121,0.0095210892125972,Narrow,Bullish,Above CPR,Cash Only,Automobile and Auto Components,True,False,0.0333333333333333,60,190556101.5,Lower,True,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ASKAUTOLTD,EQ,ASK AUTOMOTIVE LIMITED,380.65,384.75,375.3,380.1,113798,43076807.5,20260309,380.05,380.025,380.0750000000001,380.0750000000001,380.025,0.0500000000000682,0.0131544330439537,Narrow,Bullish,Above CPR,Cash Only,Automobile & Ancillary,True,False,0.0333333333333333,60,54521751.05,Lower,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CONCORDBIO,EQ,CONCORD BIOTECH LIMITED,1180.0,1193.6,1156.5,1175.3,79014,92631007.6,20260309,1175.1333333333332,1175.05,1175.2166666666665,1175.2166666666665,1175.05,0.166666666666515,0.0141807765393103,Narrow,Bullish,Above CPR,Cash Only,Healthcare,True,False,0.0333333333333333,60,93039557.85,Lower,True,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
FINPIPE,EQ,FINOLEX INDUSTRIES LTD,181.0,183.71,178.35,181.07,426081,77154485.53,20260309,181.0433333333333,181.03,181.05666666666664,181.05666666666664,181.03,0.0266666666666424,0.0147272693801526,Narrow,Bullish,Above CPR,Cash Only,Building Materials & Pipes,True,False,0.0166666666666666,60,67000371.57,Lower,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BLUECOAST,EQ,BLUE COAST HOTELS LIMITED,21.44,21.97,20.0,20.99,4774,99926.36,20260309,20.986666666666665,20.985,20.98833333333333,20.98833333333333,20.985,0.0033333333333303,0.0158805780530266,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.0232558139534883,43,102791.45,Higher,True,Long,False,Long,70,Confirmed,CPR width: Narrow (20/20); Price location: Above CPR (20/20); Trend: unavailable (10/20); Participation: unavailable (10/20); Higher timeframe: unavailable (10/20),Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
TTKHLTCARE,EQ,TTK HEALTHCARE LIMITED,878.65,879.95,860.0,870.2,4051,3529131.55,20260309,870.0500000000001,869.975,870.1250000000001,870.1250000000001,869.975,0.1500000000000909,0.0172374166858298,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.0166666666666666,60,3525105.65,Lower,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
ASAL,EQ,AUTOMOTIVE STAMPINGS & AS,440.1,445.25,429.9,437.7,14815,6455014.4,20260309,437.6166666666666,437.575,437.6583333333333,437.6583333333333,437.575,0.0833333333332575,0.0190389155433533,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.0166666666666666,60,6272188.7,Lower,True,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
