SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup,Nifty500,Signal_Direction,Signal_Score,Signal_Grade,Signal_Explanation,Strategy_Type,Strategy_Setup,Strategy_Confirmation,Strategy_Explanation,JCurve_Stage,JCurve_Score,JCurve_Explanation
BBTCL,EQ,B&B TRIPLEWALL CONT LTD,217.8,233.0,217.8,225.41,74487,16840848.44,20260529,225.4033333333333,225.4,225.40666666666667,225.40666666666667,225.4,0.0066666666666606,0.0029575736066104,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,1413293.015,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
WSI,EQ,W.S.INDUSTRIES (I) LTD.,71.0,71.0,68.01,69.51,39651,2763382.92,20260529,69.50666666666666,69.505,69.50833333333333,69.50833333333333,69.505,0.0033333333333303,0.0047954730734143,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,4250386.83,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
IIFLCAPS,EQ,IIFL CAPITAL SERVICES LTD,341.1,344.6,338.15,341.4,1571170,536439437.4,20260529,341.3833333333334,341.375,341.3916666666668,341.3916666666668,341.375,0.0166666666667651,0.0048818590119405,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,249873132.725,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SWANCORP,EQ,SWAN CORP LIMITED,321.8,339.0,319.55,329.3,1491833,493201762.65,20260529,329.2833333333333,329.275,329.29166666666663,329.29166666666663,329.275,0.0166666666666515,0.0050612410162925,Narrow,Bullish,Above CPR,Cash Only,Chemicals,True,False,0.1666666666666666,6,153642035.2,Higher,False,No setup,True,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
UGROCAP,EQ,UGRO CAPITAL LIMITED,98.4,98.4,96.84,97.63,138123,13471745.99,20260529,97.62333333333332,97.62,97.62666666666668,97.62666666666668,97.62,0.0066666666666606,0.0068285021680432,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,23560690.74,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
CEWATER,EQ,CONCORD ENVIRO SYSTEMS L,281.05,285.9,280.0,283.0,24982,7071279.2,20260529,282.96666666666664,282.95,282.9833333333333,282.9833333333333,282.95,0.033333333333303,0.0117785630153014,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,13285507.8,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SHREYANIND,EQ,SHREYANS INDUSTRIES LTD,148.0,148.74,142.1,145.45,8211,1193451.69,20260529,145.43,145.42000000000002,145.44,145.44,145.42000000000002,0.0199999999999818,0.0137504297009156,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,948911.215,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SMCGLOBAL,EQ,SMC GLOBAL SECURITIES LTD,61.0,61.99,61.0,61.51,135213,8328601.79,20260529,61.5,61.495000000000005,61.505,61.505,61.495000000000005,0.0099999999999909,0.0162575191025701,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,8046560.42,Lower,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
BUILDPRO,EQ,SHANKARA BUILDPRO LIMITED,1158.2,1184.0,1145.0,1164.8,54866,64145337.6,20260529,1164.6,1164.5,1164.7000000000005,1164.7000000000005,1164.5,0.2000000000002728,0.017170329670353,Narrow,Bullish,Above CPR,Cash Only,Real Estate & Infra,True,False,0.1666666666666666,6,76443540.9,Higher,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
SRGHFL,EQ,SRG HOUSING FINANCE L,276.5,292.0,276.35,284.25,3973,1124654.2,20260529,284.2,284.175,284.225,284.225,284.175,0.0499999999999545,0.0175901495162548,Narrow,Bullish,Above CPR,Cash Only,Diversified,True,False,0.1666666666666666,6,668115.25,Inside,False,No setup,False,Neutral,0,Not applicable,No directional setup; confirmation score not applicable.,Narrow CPR,Not applicable,Not applicable,Narrow CPR; Wide CPR rules not applied,None,0,No active J-Curve setup.
