SYMBOL,SERIES,NAME,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE,session,Pivot,BC,TC,CPR_Top,CPR_Bottom,CPR_Width,CPR_Width_Pct,CPR_Class,Bias,Price_Position,Segment,Industry,Bullish_CPR,Bearish_CPR,Width_Rank_Pct,History_Days,Value_60d,Overlay,Own_Narrow,Setup
INDPRUD,EQ,INDUSTRIAL & PRU INV CO L,6730.0,6730.0,6730.0,6730.0,1,6730.0,20260525,6730.0,6730.0,6730.0,6730.0,6730.0,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.3333333333333333,3,40123.0,Higher,False,No setup
KSOLVES,EQ,KSOLVES INDIA LIMITED,285.0,289.35,283.65,286.5,33975,9735554.05,20260525,286.5,286.5,286.5,286.5,286.5,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.3333333333333333,3,8153782.3,Higher,False,No setup
BLUECHIP,EQ,BLUE CHIP INDIA LIMITED,2.17,2.17,2.17,2.17,8381,18186.77,20260525,2.17,2.17,2.17,2.17,2.17,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.6666666666666666,3,18186.77,Higher,False,No setup
MODISONLTD,EQ,MODISON LIMITED,209.28,209.28,209.28,209.28,334597,70024460.16,20260525,209.28,209.28,209.28,209.28,209.28,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.3333333333333333,3,23364449.3,Higher,False,No setup
GRADIENTE,EQ,GRADIENTE INFOTAINMENT L,4.6,4.6,4.6,4.6,94580,435068.0,20260525,4.6,4.6,4.6,4.6,4.6,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.75,2,439724.46499999997,Lower,False,No setup
VIKASLIFE,EQ,VIKAS LIFECARE LIMITED,1.45,1.49,1.45,1.47,3005612,4420803.91,20260525,1.47,1.47,1.47,1.47,1.47,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.3333333333333333,3,2617364.09,Higher,False,No setup
GATECH,EQ,GACM TECHNOLOGIES LIMITED,0.52,0.53,0.51,0.52,5547466,2886968.42,20260525,0.52,0.52,0.52,0.52,0.52,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.3333333333333333,3,2886968.42,Inside,False,No setup
THAKDEV,EQ,THAKKERS DEVELOPERS LTD.,135.05,135.05,135.05,135.05,5,675.25,20260525,135.05,135.05,135.05,135.05,135.05,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.75,2,548.525,Lower,False,No setup
GUJRAFFIA,EQ,GUJARAT RAFFIA INDUST LTD,45.37,45.37,45.37,45.37,10117,459008.29,20260525,45.37,45.37,45.37,45.37,45.37,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.3333333333333333,3,459008.29,Higher,False,No setup
NEAGI,EQ,NEELAMALAI AGRO INDS. L,3200.0,3200.0,3200.0,3200.0,1,3200.0,20260525,3200.0,3200.0,3200.0,3200.0,3200.0,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.5,2,35267.1,Lower,False,No setup
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,32.88,32.88,32.88,32.88,210,6904.8,20260525,32.88,32.88,32.88,32.88,32.88,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.3333333333333333,3,19798.66,Higher,False,No setup
UTKARSHBNK,EQ,UTKARSH SMALL FIN BANK L,13.44,13.5,13.34,13.42,2571963,34520683.75,20260525,13.42,13.42,13.42,13.42,13.42,0.0,0.0,Narrow,Neutral,Inside CPR,Cash Only,Unclassified,False,False,0.3333333333333333,3,30619948.71,Higher,False,No setup
